t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
1095,177728.7162,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.8;0.246,26429.20191,-70933.80057,,
1095,100346.8618,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.7;0.246,-29217.63894,-118520.3081,,
1095,107092.3618,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.7;0.246,-23485.41894,-104710.5348,,
1095,113837.8618,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.7;0.246,-17753.19894,-8640.03018,,
1095,102653.6023,RogueTrees-SprayTrees,105;0;9;0.0545;0.4;0.7;0.246,-26906.74565,81733.20448,,
1095,109415.0023,RogueTrees-SprayTrees,105;0;6;0.0545;0.4;0.7;0.246,-21157.30565,181294.9358,,
1095,116176.4023,RogueTrees-SprayTrees,105;0;3;0.0545;0.4;0.7;0.246,-15407.86565,179392.0066,,
1095,187913.1695,SprayTrees,0.8;0.246,35556.71303,80971.29679,,
1095,-9360.43587,RogueTrees,135;0;9;0.0545;0.2,-96760.63452,-450216.6914,,
1095,2703.79413,RogueTrees,135;0;6;0.0545;0.2,-86171.53452,-433404.2808,,
1095,14768.02413,RogueTrees,135;0;3;0.0545;0.2,-75582.43452,-438187.6883,,
1095,-13777.31533,RogueTrees,70;0;9;0.0545;0.2,-101151.9839,-442933.1757,,
1095,-1713.80533,RogueTrees,70;0;6;0.0545;0.2,-90550.10394,-411482.0936,,
1095,10349.70467,RogueTrees,70;0;3;0.0545;0.2,-79948.22394,-417876.715,,
1095,-3062.070405,RogueTrees,105;0;9;0.0545;0.1,-90954.94192,-424267.8563,,
1095,9019.529595,RogueTrees,105;0;6;0.0545;0.1,-80327.92192,-409046.9197,,
1095,21101.1296,RogueTrees,105;0;3;0.0545;0.1,-69700.90192,-430169.7654,,
1095,-9428.434807,RogueTrees,135;0;9;0.0545;0.1,-96944.72528,-451295.6411,,
1095,2641.825193,RogueTrees,135;0;6;0.0545;0.1,-86339.36528,-434553.7034,,
1095,14712.08519,RogueTrees,135;0;3;0.0545;0.1,-75734.00528,-450287.3367,,
1095,-14271.3549,RogueTrees,70;0;9;0.0545;0.1,-101450.7676,-466017.1001,,
1095,-2185.134902,RogueTrees,70;0;6;0.0545;0.1,-90826.7776,-445420.8711,,
1095,9901.085098,RogueTrees,70;0;3;0.0545;0.1,-80202.7876,-456829.7923,,
1095,-14829.19866,RogueTrees,45;0;9;0.0545;0.2,-102072.9986,-468249.6335,,
1095,-2751.40866,RogueTrees,45;0;6;0.0545;0.2,-91463.76863,-447186.1937,,
1095,9326.38134,RogueTrees,45;0;3;0.0545;0.2,-80854.53863,-446835.4143,,
1095,-14983.29203,RogueTrees,45;0;9;0.0545;0.1,-102235.6988,-446467.2049,,
1095,-2893.442032,RogueTrees,45;0;6;0.0545;0.1,-91622.62882,-414091.1753,,
1095,9196.407968,RogueTrees,45;0;3;0.0545;0.1,-81009.55882,-419085.1287,,
1095,-3408.728946,RogueTrees,105;0;9;0.0545;0.2,-91112.98922,-424190.3522,,
1095,8673.141054,RogueTrees,105;0;6;0.0545;0.2,-80486.32922,-408690.3452,,
1095,20755.01105,RogueTrees,105;0;3;0.0545;0.2,-69859.66922,-418748.19,,
1095,-9312.485213,RogueTrees,135;0;9;0.0545;0.3,-96616.58226,-428910.3448,,
1095,2665.464787,RogueTrees,135;0;6;0.0545;0.3,-86114.78226,-401793.2366,,
1095,14643.41479,RogueTrees,135;0;3;0.0545;0.3,-75612.98226,-417413.175,,
1095,-2715.344805,RogueTrees,105;0;9;0.0545;0.3,-90544.17404,-433023.3334,,
1095,9264.915195,RogueTrees,105;0;6;0.0545;0.3,-80021.82404,-423190.7199,,
1095,21245.1752,RogueTrees,105;0;3;0.0545;0.3,-69499.47404,-444211.8822,,
1095,-14359.99791,RogueTrees,45;0;9;0.0545;0.3,-101734.7206,-465232.7744,,
1095,-2380.72791,RogueTrees,45;0;6;0.0545;0.3,-91223.14062,-443495.8001,,
1095,9598.54209,RogueTrees,45;0;3;0.0545;0.3,-80711.56062,-442788.4863,,
1095,-13754.61231,RogueTrees,70;0;9;0.0545;0.3,-101042.9863,-443946.4525,,
1095,-1768.922306,RogueTrees,70;0;6;0.0545;0.3,-90520.36629,-416126.693,,
1095,10216.76769,RogueTrees,70;0;3;0.0545;0.3,-79997.74629,-410029.6803,,
